"分组","业务组别","主成分","组内主成分","变量","载荷系数"
"1990年及以前","受众偏好","audience_PC2","PC2","高活跃用户占比",-0.3554612484623081
"1990年及以前","受众偏好","audience_PC1","PC1","评分标准差",-0.447881418327756
"1990年及以前","受众偏好","audience_PC2","PC2","评分标准差",-0.8925329129354864
"1991-2009年","流量热度","traffic_PC1","PC1","TMDB热度对数",-0.4838818382771866
"1991-2009年","流量热度","traffic_PC2","PC2","TMDB热度对数",0.52067224161486
"1991-2009年","流量热度","traffic_PC1","PC1","TMDB评分人数对数",-0.49225890749641354
"1991-2009年","流量热度","traffic_PC2","PC2","TMDB评分人数对数",0.5026048853099624
"1991-2009年","流量热度","traffic_PC1","PC1","影片总互动量对数",-0.5116344078421268
"1991-2009年","流量热度","traffic_PC2","PC2","影片总互动量对数",-0.4880003822100527
"1991-2009年","流量热度","traffic_PC1","PC1","评分用户数对数",-0.5116344078421271
"1991-2009年","流量热度","traffic_PC2","PC2","评分用户数对数",-0.4880003822100535
"1991-2009年","商业运营","commercial_PC1","PC1","TMDB预算对数",-0.3905411212927812
"1991-2009年","商业运营","commercial_PC2","PC2","TMDB预算对数",-0.67412748316001
"1991-2009年","商业运营","commercial_PC3","PC3","TMDB预算对数",0.3014621970212391
"1991-2009年","商业运营","commercial_PC1","PC1","TMDB票房收入对数",-0.6976850438617815
"1991-2009年","商业运营","commercial_PC2","PC2","TMDB票房收入对数",-0.11909716064541288
"1991-2009年","商业运营","commercial_PC3","PC3","TMDB票房收入对数",0.10392310077464828
"1991-2009年","商业运营","commercial_PC1","PC1","TMDB利润对数",-0.540191287284441
"1991-2009年","商业运营","commercial_PC2","PC2","TMDB利润对数",0.32384226950862166
"1991-2009年","商业运营","commercial_PC3","PC3","TMDB利润对数",-0.6753293051084405
"1991-2009年","商业运营","commercial_PC1","PC1","投资回报率",-0.2625006386524416
"1991-2009年","商业运营","commercial_PC2","PC2","投资回报率",0.6530652243490352
"1991-2009年","商业运营","commercial_PC3","PC3","投资回报率",0.66501944524522
"1991-2009年","内容属性","content_PC1","PC1","片长",0.5668701083108746
"1991-2009年","内容属性","content_PC2","PC2","片长",0.6020623783544913
"1991-2009年","内容属性","content_PC3","PC3","片长",-0.5622981174374947
"1991-2009年","内容属性","content_PC1","PC1","类型数量",0.456778656419812
"1991-2009年","内容属性","content_PC2","PC2","类型数量",-0.7977378830991146
"1991-2009年","内容属性","content_PC3","PC3","类型数量",-0.3936591532123369
"1991-2009年","内容属性","content_PC1","PC1","影片年龄",0.685573875919239
"1991-2009年","内容属性","content_PC2","PC2","影片年龄",0.03369217177144412
"1991-2009年","内容属性","content_PC3","PC3","影片年龄",0.7272230044617641
"1991-2009年","受众偏好","audience_PC1","PC1","观看用户平均活跃度对数",0.6269857414070071
"1991-2009年","受众偏好","audience_PC2","PC2","观看用户平均活跃度对数",0.32906126506794103
"1991-2009年","受众偏好","audience_PC1","PC1","高活跃用户占比",0.6277841265761707
"1991-2009年","受众偏好","audience_PC2","PC2","高活跃用户占比",0.3232797060169081
"1991-2009年","受众偏好","audience_PC1","PC1","评分标准差",-0.46127645776833215
"1991-2009年","受众偏好","audience_PC2","PC2","评分标准差",0.887247944776153
"2010年及以后","流量热度","traffic_PC1","PC1","TMDB热度对数",0.4668044627677577
"2010年及以后","流量热度","traffic_PC2","PC2","TMDB热度对数",-0.6418668901651196
"2010年及以后","流量热度","traffic_PC1","PC1","TMDB评分人数对数",0.5101016143493686
"2010年及以后","流量热度","traffic_PC2","PC2","TMDB评分人数对数",-0.36651677594070137
"2010年及以后","流量热度","traffic_PC1","PC1","影片总互动量对数",0.5108277285828723
"2010年及以后","流量热度","traffic_PC2","PC2","影片总互动量对数",0.4762732137459512
"2010年及以后","流量热度","traffic_PC1","PC1","评分用户数对数",0.5108277285828721
"2010年及以后","流量热度","traffic_PC2","PC2","评分用户数对数",0.4762732137459504
"2010年及以后","商业运营","commercial_PC1","PC1","TMDB预算对数",0.50795824640448906
"2010年及以后","商业运营","commercial_PC2","PC2","TMDB预算对数",0.54161243011909
"2010年及以后","商业运营","commercial_PC3","PC3","TMDB预算对数",-0.328265543941649
"2010年及以后","商业运营","commercial_PC1","PC1","TMDB票房收入对数",0.6757677277499056
"2010年及以后","商业运营","commercial_PC2","PC2","TMDB票房收入对数",0.02282798854449536
"2010年及以后","商业运营","commercial_PC3","PC3","TMDB票房收入对数",-0.1850387325222121
"2010年及以后","商业运营","commercial_PC1","PC1","TMDB利润对数",0.5118262072585287
"2010年及以后","商业运营","commercial_PC2","PC2","TMDB利润对数",-0.3379630268367367
"2010年及以后","商业运营","commercial_PC3","PC3","TMDB利润对数",0.7374393979882733
"2010年及以后","商业运营","commercial_PC1","PC1","投资回报率",0.15280815293941605
"2010年及以后","商业运营","commercial_PC2","PC2","投资回报率",-0.7693606767770612
"2010年及以后","商业运营","commercial_PC3","PC3","投资回报率",-0.5605225547843361
"2010年及以后","内容属性","content_PC1","PC1","片长",0.7099452625057945
"2010年及以后","内容属性","content_PC2","PC2","片长",-0.16873326586900678
"2010年及以后","内容属性","content_PC3","PC3","片长",0.6837446959463435
"2010年及以后","内容属性","content_PC1","PC1","类型数量",0.02957369894544803
"2010年及以后","内容属性","content_PC2","PC2","类型数量",-0.9628748275347184
"2010年及以后","内容属性","content_PC3","PC3","类型数量",-0.26832342952241417
"2010年及以后","内容属性","content_PC1","PC1","影片年龄",-0.7036356447596034
"2010年及以后","内容属性","content_PC2","PC2","影片年龄",-0.21071580740220908
"2010年及以后","内容属性","content_PC3","PC3","影片年龄",0.6785983553874656
"2010年及以后","受众偏好","audience_PC1","PC1","观看用户平均活跃度对数",0.5737959355847788
"2010年及以后","受众偏好","audience_PC2","PC2","观看用户平均活跃度对数",0.5887971811929933
"2010年及以后","受众偏好","audience_PC3","PC3","观看用户平均活跃度对数",0.5692768252138622
"2010年及以后","受众偏好","audience_PC1","PC1","高活跃用户占比",0.658370254603774
"2010年及以后","受众偏好","audience_PC2","PC2","高活跃用户占比",0.08183029964603922
"2010年及以后","受众偏好","audience_PC3","PC3","高活跃用户占比",-0.7482328580814941
"2010年及以后","受众偏好","audience_PC1","PC1","评分标准差",-0.4871414909031566
"2010年及以后","受众偏好","audience_PC2","PC2","评分标准差",0.8041279011942225
"2010年及以后","受众偏好","audience_PC3","PC3","评分标准差",-0.34069265674743354
